Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:29:55.560568,14:30:02.638901,-1,-1.1164628389271627
1,14:29:55.560568,14:30:04.453329,1,-3.2020212804276853
1,14:29:55.560568,14:30:05.454265,1,-3.7499786321459667
1,14:29:55.560568,14:30:05.839838,1,-4.2954152748988
1,14:29:55.560568,14:30:06.580696,-1,-4.787334905469236
1,14:29:55.560568,14:30:06.963906,-1,-5.0152131903290345
1,14:29:55.560568,14:30:07.498008,-1,-5.393029823195632
1,14:29:55.560568,14:30:07.886122,-1,-3.94476041110089
